uid,sn,givenName,cn,displayName,userPassword,mail
jack,Carter,Jack,Jack,Jack,4dminP455w0rd!49,jack@rosario.sis.edu
karen,Gonzalez,Karen,Karen,Karen,4dminP455w0rd!50,karen@rosario.sis.edu
larry,Martin,Larry,Larry,Larry,4dminP455w0rd!51,larry@rosario.sis.edu
monica,Ramirez,Monica,Monica,Monica,4dminP455w0rd!52,monica@rosario.sis.edu
nina,Moore,Nina,Nina,Nina,4dminP455w0rd!53,nina@rosario.sis.edu
oscar,King,Oscar,Oscar,Oscar,4dminP455w0rd!54,oscar@rosario.sis.edu
paul,Baker,Paul,Paul,Paul,4dminP455w0rd!55,paul@rosario.sis.edu
quincy,Perez,Quincy,Quincy,Quincy,4dminP455w0rd!56,quincy@rosario.sis.edu
rachel,Allen,Rachel,Rachel,Rachel,4dminP455w0rd!57,rachel@rosario.sis.edu
steve,Carter,Steve,Steve,Steve,4dminP455w0rd!58,steve@rosario.sis.edu
tina,Young,Tina,Tina,Tina,4dminP455w0rd!59,tina@rosario.sis.edu
uma,Gonzalez,Uma,Uma,Uma,4dminP455w0rd!60,uma@rosario.sis.edu
victor,Williams,Victor,Victor,Victor,4dminP455w0rd!61,victor@rosario.sis.edu
wendy,Perez,Wendy,Wendy,Wendy,4dminP455w0rd!62,wendy@rosario.sis.edu
xander,Walker,Xander,Xander,Xander,4dminP455w0rd!63,xander@rosario.sis.edu
yara,Nelson,Yara,Yara,Yara,4dminP455w0rd!64,yara@rosario.sis.edu
zane,Thomas,Zane,Zane,Zane,4dminP455w0rd!65,zane@rosario.sis.edu
brian,Martin,Brian,Brian,Brian,4dminP455w0rd!66,brian@rosario.sis.edu
clara,Baker,Clara,Clara,Clara,4dminP455w0rd!67,clara@rosario.sis.edu
denise,Adams,Denise,Denise,Denise,4dminP455w0rd!68,denise@rosario.sis.edu
eva,Young,Eva,Eva,Eva,4dminP455w0rd!69,eva@rosario.sis.edu
fred,Harris,Fred,Fred,Fred,4dminP455w0rd!70,fred@rosario.sis.edu
gina,Davis,Gina,Gina,Gina,4dminP455w0rd!71,gina@rosario.sis.edu
howard,Allen,Howard,Howard,Howard,4dminP455w0rd!72,howard@rosario.sis.edu
ivy,Rodriguez,Ivy,Ivy,Ivy,4dminP455w0rd!73,ivy@rosario.sis.edu
jerry,Rodriguez,Jerry,Jerry,Jerry,4dminP455w0rd!74,jerry@rosario.sis.edu
kyle,Carter,Kyle,Kyle,Kyle,4dminP455w0rd!75,kyle@rosario.sis.edu
linda,Martinez,Linda,Linda,Linda,4dminP455w0rd!76,linda@rosario.sis.edu
mark,Wilson,Mark,Mark,Mark,4dminP455w0rd!77,mark@rosario.sis.edu
nora,Allen,Nora,Nora,Nora,4dminP455w0rd!78,nora@rosario.sis.edu
olive,Clark,Olive,Olive,Olive,4dminP455w0rd!79,olive@rosario.sis.edu
